縣市,鄉鎮,村里,開票所數,蔡蘇得票,馬吳得票,宋林得票,無效票,選舉人數,藍綠比例
臺南市,歸仁區,文化里,2,1184,849,58,48,8289,-0.16478111165765
臺南市,歸仁區,大廟里,2,1195,639,41,45,7299,-0.30316248636859
臺南市,歸仁區,看東里,1,695,429,33,24,4461,-0.23665480427046
臺南市,歸仁區,看西里,1,869,416,30,36,5151,-0.35252918287938
臺南市,歸仁區,歸仁里,2,863,706,47,33,6327,-0.10006373486297
臺南市,歸仁區,七甲里,2,1252,681,57,48,7599,-0.29539575788929
臺南市,歸仁區,六甲里,3,1571,824,48,87,10332,-0.31189979123173
臺南市,歸仁區,八甲里,2,1048,638,35,42,6924,-0.24317912218268
臺南市,歸仁區,武東里,1,569,394,26,60,5049,-0.18172377985462
臺南市,歸仁區,西埔里,2,800,374,26,27,4545,-0.36286201022147
臺南市,歸仁區,辜厝里,3,1281,915,56,48,8925,-0.16666666666667
臺南市,歸仁區,媽廟里,2,986,500,24,33,6003,-0.32705248990579
臺南市,歸仁區,大潭里,2,901,405,28,48,5079,-0.37978560490046
臺南市,歸仁區,歸南里,2,993,608,46,30,6585,-0.24047470331043
臺南市,六甲區,龜港里,1,482,290,17,36,3303,-0.24870466321244
臺南市,六甲區,菁埔里,1,294,147,9,15,1854,-0.33333333333333
臺南市,六甲區,七甲里,1,519,154,13,15,2721,-0.54234769687964
臺南市,六甲區,王爺里,1,350,151,15,18,2367,-0.39720558882236
臺南市,六甲區,二甲里,3,1457,708,55,60,9405,-0.3459584295612
臺南市,六甲區,甲南里,1,623,352,24,21,4119,-0.27794871794872
臺南市,六甲區,中社里,2,759,418,21,33,4908,-0.28971962616822
臺南市,六甲區,六甲里,3,1295,735,44,42,8541,-0.27586206896552
臺南市,六甲區,大丘里,1,266,132,8,12,1962,-0.33668341708543
臺南市,六甲區,龍湖里,1,513,226,19,27,3183,-0.38836265223275
臺南市,六甲區,甲東里,2,1227,554,42,27,7695,-0.3778775968557
臺南市,六甲區,水林里,2,1001,468,43,24,6156,-0.36283185840708
臺南市,將軍區,玉山里,1,480,106,6,15,2700,-0.6382252559727
臺南市,將軍區,北埔里,1,343,95,7,15,1842,-0.5662100456621
臺南市,將軍區,將貴里,1,307,124,6,15,1764,-0.4245939675174
臺南市,將軍區,將富里,1,324,110,9,27,2058,-0.49308755760369
臺南市,將軍區,長沙里,2,674,241,17,12,4248,-0.47322404371585
臺南市,將軍區,三吉里,1,193,95,10,15,1290,-0.34027777777778
臺南市,將軍區,西華里,1,626,353,21,42,4119,-0.27885597548519
臺南市,將軍區,廣山里,1,295,144,13,51,2121,-0.34396355353075
臺南市,將軍區,苓和里,2,504,210,19,3,3198,-0.41176470588235
臺南市,將軍區,鯤鯓里,2,941,363,36,36,5853,-0.44325153374233
臺南市,將軍區,嘉昌里,2,466,148,15,36,2697,-0.51791530944625
臺南市,將軍區,平沙里,1,602,176,10,24,3588,-0.54755784061697
臺南市,將軍區,長榮里,1,479,269,25,18,3132,-0.2807486631016
臺南市,將軍區,保源里,2,521,189,11,27,3006,-0.46760563380282
